id,x1,x2,x3,x4,y
1,10265,30.81,6235,3223,2
2,8164,49.13,4929,2406,2
3,3376,77.76,3921,1668,0
4,2819,33.97,3305,1206,0
5,3013,54.51,2863,1208,1
6,6103,124.02,3706,1756,1
7,3703,28.65,3174,1609,1
8,4427,48.51,3375,1766,1
9,15204,128.93,7191,4245,2
10,5785,101.09,4634,2456,0
11,6149,41.88,6221,2966,0
12,2521,55.74,3795,1302,0
13,5386,18.35,4506,2048,0
14,2376,26.28,3376,1537,0
15,4473,102.54,4264,1715,0
16,2475,71.36,3299,1231,0
17,3341,37.75,4208,1511,0
18,2701,43.01,4699,1425,0
19,6380,51.82,7438,2699,0
20,2772,32.52,4791,1446,0
21,4802,5.35,4770,1519,0
22,2516,80.97,4002,1158,0
23,1553,22.07,3931,1086,1
24,2490,48.48,4085,1010,1
25,2344,26.31,3309,962,1
26,1925,14.84,3152,880,1
27,2910,4.16,3319,1029,1
28,2685,7.94,3382,998,1
29,3935,26.65,4163,1136,1
