Id,Area,Shape,Style,Utilities,Neighborhood,Price
1,8450,Reg,2Story,AllPub,CollgCr,20850
2,9600,Reg,1Story,AllPub,Veenker,18150
3,11250,IR1,2Story,AllPub,CollgCr,22350
4,9550,IR1,2Story,AllPub,Crawfor,14000
5,14260,IR1,2Story,AllPub,NoRidge,25000
6,14115,IR1,1.5Fin,AllPub,Mitchel,14300
7,10084,Reg,1Story,AllPub,Somerst,30700
8,10382,IR1,2Story,AllPub,NWAmes,20000
9,6120,Reg,1.5Fin,AllPub,OldTown,12990
10,7420,Reg,1.5Unf,AllPub,BrkSide,11800
11,11200,Reg,1Story,AllPub,Sawyer,12950
12,11924,IR1,2Story,AllPub,NridgHt,34500
13,12968,IR2,1Story,AllPub,Sawyer,14400
14,10652,IR1,1Story,AllPub,CollgCr,27950
15,10920,IR1,1Story,AllPub,NAmes,15700
16,6120,Reg,1.5Unf,AllPub,BrkSide,13200
17,11241,IR1,1Story,AllPub,NAmes,14900
18,10791,Reg,1Story,AllPub,Sawyer,9000
19,13695,Reg,1Story,AllPub,SawyerW,15900
20,7560,Reg,1Story,AllPub,NAmes,13900
21,14215,IR1,2Story,AllPub,NridgHt,32530
22,7449,Reg,1.5Unf,AllPub,IDOTRR,13940
23,9742,Reg,1Story,AllPub,CollgCr,23000
24,4224,Reg,1Story,AllPub,MeadowV,12990
25,8246,IR1,1Story,AllPub,Sawyer,15400
26,14230,Reg,1Story,AllPub,NridgHt,25630
27,7200,Reg,1Story,AllPub,NAmes,13480
28,11478,Reg,1Story,AllPub,NridgHt,30600
29,16321,IR1,1Story,AllPub,NAmes,20750
30,6324,IR1,1Story,AllPub,BrkSide,9870
31,8500,Reg,2Story,AllPub,IDOTRR,9000
32,8544,IR1,1Story,AllPub,Sawyer,14935
33,11049,Reg,1Story,AllPub,CollgCr,17990
34,10552,IR1,1Story,AllPub,NAmes,16550
35,7313,Reg,1Story,AllPub,NridgHt,27750
36,13418,Reg,2Story,AllPub,NridgHt,30900
37,10859,Reg,1Story,AllPub,CollgCr,14500
38,8532,Reg,1Story,AllPub,NAmes,15300
39,7922,Reg,1Story,AllPub,NAmes,10900
40,6040,Reg,1Story,AllPub,Edwards,8200
41,8658,Reg,1Story,AllPub,NAmes,16000
42,16905,Reg,1Story,AllPub,Timber,17000
43,9180,IR1,SFoyer,AllPub,SawyerW,14400
44,9200,IR1,1Story,AllPub,CollgCr,13025
45,7945,Reg,1Story,AllPub,NAmes,14100
46,7658,Reg,1Story,AllPub,NridgHt,31990
47,12822,IR1,1.5Fin,AllPub,Mitchel,23000
48,11096,Reg,1Story,AllPub,Somerst,24970
49,4456,Reg,2Story,AllPub,OldTown,11300
50,7742,Reg,1Story,AllPub,Sawyer,12700
51,13869,IR2,2Story,AllPub,Gilbert,17700
52,6240,Reg,1.5Fin,AllPub,BrkSide,11450
53,8472,IR2,1Story,AllPub,IDOTRR,11000
54,50271,IR1,1Story,AllPub,Veenker,38500
55,7134,Reg,SLvl,AllPub,NAmes,13000
56,10175,IR1,1Story,AllPub,NAmes,18050
57,2645,Reg,2Story,AllPub,Somerst,17250
58,11645,IR1,2Story,AllPub,CollgCr,19650
59,13682,IR2,2Story,AllPub,StoneBr,43878
60,7200,Reg,1Story,AllPub,CollgCr,12490
61,13072,Reg,1Story,AllPub,SawyerW,15800
62,7200,Reg,2.5Unf,AllPub,IDOTRR,10100
63,6442,IR1,1Story,AllPub,NridgHt,20250
64,10300,IR1,2Story,AllPub,OldTown,14000
65,9375,Reg,2Story,AllPub,CollgCr,21950
66,9591,Reg,2Story,AllPub,NridgHt,31700
67,19900,Reg,1Story,AllPub,NAmes,18000
68,10665,IR1,1Story,AllPub,CollgCr,22600
69,4608,Reg,1Story,AllPub,OldTown,8000
70,15593,Reg,1.5Fin,AllPub,ClearCr,22500
71,13651,IR1,1Story,AllPub,NAmes,24400
72,7599,Reg,1Story,AllPub,Mitchel,12950
73,10141,IR1,2Story,AllPub,Gilbert,18500
74,10200,Reg,1Story,AllPub,NAmes,14490
75,5790,Reg,2Story,AllPub,OldTown,10740
76,1596,Reg,SLvl,AllPub,MeadowV,9100
77,8475,IR1,1Story,AllPub,NAmes,13575
78,8635,Reg,1.5Fin,AllPub,BrkSide,12700
79,10778,Reg,1Story,AllPub,Sawyer,13650
80,10440,Reg,2Story,AllPub,OldTown,11000
81,13000,Reg,2Story,AllPub,NAmes,19350
82,4500,Reg,1Story,AllPub,Mitchel,15350
83,10206,Reg,1Story,AllPub,Somerst,24500
84,8892,IR1,1Story,AllPub,NAmes,12650
85,8530,IR1,SLvl,AllPub,Gilbert,16850
86,16059,Reg,2Story,AllPub,NoRidge,26000
87,11911,IR2,2Story,AllPub,Gilbert,17400
88,3951,Reg,2Story,AllPub,Somerst,16450
89,8470,IR1,1.5Fin,AllPub,IDOTRR,8500
90,8070,Reg,1Story,AllPub,CollgCr,12360
91,7200,Reg,1Story,AllPub,NAmes,10990
92,8500,Reg,1Story,AllPub,NAmes,9860
93,13360,IR1,1Story,AllPub,Crawfor,16350
94,7200,Reg,2.5Unf,AllPub,OldTown,13390
